Year,Team,Team_PassingTDs,Team_RushingTDs,,,idk what this is
2016,Giants,26,6,,,New York Giants
2016,49ers,21,15,,,San Francisco 49ers
2016,Texans,15,8,,,Houston Texans
2016,Bears,19,10,,,Chicago Bears
2016,Jets,16,10,,,New York Jets
2016,Browns,15,13,,,Cleveland Browns
2016,Rams,14,9,,,Los Angeles Rams
2015,Panthers,35,19,,,Carolina Panthers
2015,Cardinals,35,16,,,Arizona Cardinals
2015,Patriots,36,14,,,New England Patriots
2015,Seahawks,34,10,,,Seattle Seahawks
2015,Steelers,26,16,,,Pittsburgh Steelers
2015,Giants,36,5,,,New York Giants
2015,Bengals,31,18,,,Cincinnati Bengals
2015,Saints,32,16,,,New Orleans Saints
2015,Chiefs,20,19,,,Kansas City Chiefs
2015,Redskins,30,9,,,Washington Redskins
2015,Jets,33,11,,,New York Jets
2015,Bills,23,19,,,Buffalo Bills
2015,Eagles,23,15,,,Philadelphia Eagles
2015,Jaguars,35,5,,,Jacksonville Jaguars
2015,Packers,31,8,,,Green Bay Packers
2015,Vikings,14,18,,,Minnesota Vikings
2015,Raiders,34,7,,,Oakland Raiders
2015,Lions,33,7,,,Detroit Lions
2015,Broncos,19,13,,,Denver Broncos
2015,Buccaneers,22,12,,,Tampa Bay Buccaneers
2015,Falcons,21,13,,,Atlanta Falcons
2015,Texans,29,7,,,Houston Texans
2015,Bears,21,13,,,Chicago Bears
2015,Colts,26,6,,,Indianapolis Colts
2015,Ravens,21,8,,,Baltimore Ravens
2015,Chargers,30,4,,,San Diego Chargers
2015,Dolphins,24,11,,,Miami Dolphins
2015,Titans,25,10,,,Tennessee Titans
2015,Rams,11,16,,,St. Louis Rams
2015,Browns,20,5,,,Cleveland Browns
2015,Cowboys,16,8,,,Dallas Cowboys
2015,49ers,16,7,,,San Francisco 49ers
