Year,Name,Position,Age,Height (in),Weight (lbs),RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate,Catch%,YardsPerReception,YardsPerTarget,YACPerReception,TDperReception,TDperTarget,YardsPerRush,TDperRush,TotalYardsPerTouch,TotalTDsPerTouch,TeamPassingYardsPerAttempt,TeamRushingYardsPerAttempt,TeamPassingTDPercentage,TeamRushingTDPercentage,TeamYardsPerPlay,TeamPointsPerYard
2020,Adam Shaheen,TE,26,79,257,0,0,0,12,150,3,22,109,150,3,Dolphins,MIA,404.0,338.0,5424.0,559.0,3736.0,24.0,428.0,1688.0,15.0,345.0,20.0,0.5832999999999999,0.074484,6.683363,3.943925,0.020263,0.5454545454545454,12.5,6.818181818181818,9.083333333333334,0.25,0.13636363636363635,0.0,0.0,12.5,0.25,6.683363148479428,3.94392523364486,0.04293381037567084,0.035046728971962614,5.495440729483283,0.07448377581120944
2021,Adam Shaheen,TE,27,79,257,0,0,0,12,110,0,16,33,110,0,Dolphins,MIA,341.0,373.0,5219.0,615.0,3651.0,21.0,442.0,1568.0,12.0,325.0,26.0,0.6122,0.065338,5.936585,3.547511,0.024598,0.75,9.166666666666666,6.875,2.75,0.0,0.0,0.0,0.0,9.166666666666666,0.0,5.9365853658536585,3.5475113122171944,0.03414634146341464,0.027149321266968326,4.93755912961211,0.06533818739222073
2015,Adam Thielen,WR,28,74,200,89,4,0,12,144,0,18,51,233,0,Vikings,MIN,365.0,302.0,5139.0,454.0,2928.0,14.0,474.0,2211.0,18.0,297.0,17.0,0.47729999999999995,0.071025,6.449339,4.664557,0.018319,0.6666666666666666,12.0,8.0,4.25,0.0,0.0,22.25,0.0,14.5625,0.0,6.4493392070484585,4.6645569620253164,0.030837004405286344,0.0379746835443038,5.537715517241379,0.07102549134072776
2016,Adam Thielen,WR,26,74,200,15,2,0,69,967,5,92,317,982,5,Vikings,MIN,327.0,307.0,5041.0,588.0,3836.0,20.0,380.0,1205.0,9.0,303.0,16.0,0.46,0.064868,6.52381,3.171053,0.016529,0.75,14.014492753623188,10.51086956521739,4.594202898550725,0.07246376811594203,0.05434782608695652,7.5,0.0,13.830985915492958,0.07042253521126761,6.523809523809524,3.1710526315789473,0.034013605442176874,0.02368421052631579,5.207644628099174,0.06486808172981551
2017,Adam Thielen,WR,27,74,200,11,1,0,91,1276,4,143,441,1287,4,Vikings,MIN,382.0,252.0,5710.0,527.0,3753.0,25.0,501.0,1957.0,15.0,334.0,14.0,0.5556,0.0669,7.121442,3.906188,0.013619,0.6363636363636364,14.021978021978022,8.923076923076923,4.846153846153846,0.04395604395604396,0.027972027972027972,11.0,0.0,13.98913043478261,0.043478260869565216,7.121442125237191,3.906187624750499,0.04743833017077799,0.029940119760479042,5.554474708171206,0.06690017513134851
2018,Adam Thielen,WR,28,74,200,30,5,0,113,1373,9,153,435,1403,9,Vikings,MIN,360.0,341.0,5529.0,606.0,4036.0,30.0,357.0,1493.0,9.0,310.0,20.0,0.54,0.065111,6.660066,4.182073,0.020768,0.738562091503268,12.150442477876107,8.973856209150327,3.849557522123894,0.07964601769911504,0.058823529411764705,6.0,0.0,11.889830508474576,0.07627118644067797,6.66006600660066,4.182072829131653,0.04950495049504951,0.025210084033613446,5.741433021806854,0.06511123168746609
2019,Adam Thielen,WR,29,74,200,6,4,1,30,418,6,48,123,424,7,Vikings,MIN,407.0,303.0,5656.0,466.0,3523.0,26.0,476.0,2133.0,19.0,314.0,20.0,0.6065999999999999,0.071959,7.560086,4.481092,0.021231,0.625,13.933333333333334,8.708333333333334,4.1,0.2,0.125,1.5,0.25,12.470588235294118,0.20588235294117646,7.560085836909871,4.48109243697479,0.055793991416309016,0.03991596638655462,6.004246284501062,0.07195898161244696
2020,Adam Thielen,WR,30,74,200,15,3,0,74,925,14,108,231,940,14,Vikings,MIN,430.0,475.0,6292.0,516.0,4009.0,35.0,468.0,2283.0,20.0,383.0,23.0,0.7119,0.068341,7.76938,4.878205,0.023374,0.6851851851851852,12.5,8.564814814814815,3.1216216216216215,0.1891891891891892,0.12962962962962962,5.0,0.0,12.207792207792208,0.18181818181818182,7.76937984496124,4.878205128205129,0.06782945736434108,0.042735042735042736,6.394308943089431,0.06834075015893197
2021,Adam Thielen,WR,31,74,200,2,1,0,67,726,10,95,239,728,10,Vikings,MIN,425.0,426.0,6168.0,604.0,4238.0,34.0,449.0,1930.0,10.0,332.0,13.0,0.6225999999999999,0.068904,7.016556,4.298441,0.012346,0.7052631578947368,10.835820895522389,7.6421052631578945,3.5671641791044775,0.14925373134328357,0.10526315789473684,2.0,0.0,10.705882352941176,0.14705882352941177,7.016556291390729,4.298440979955457,0.056291390728476824,0.022271714922048998,5.8575498575498575,0.06890402075226978
2022,Adam Thielen,WR,32,74,200,4,1,0,70,716,6,107,152,720,6,Vikings,MIN,424.0,427.0,6145.0,672.0,4484.0,30.0,404.0,1661.0,18.0,382.0,23.0,0.6324000000000001,0.068999,6.672619,4.111386,0.021375,0.6542056074766355,10.228571428571428,6.691588785046729,2.1714285714285713,0.08571428571428572,0.056074766355140186,4.0,0.0,10.140845070422536,0.08450704225352113,6.6726190476190474,4.111386138613861,0.044642857142857144,0.04455445544554455,5.7109665427509295,0.06899918633034988
