Year,Team,Points Scored,Points Allowed,Total Yards,Passing Yards,Rushing Yards,First Downs,Turnovers,Rush Attempts,Pass Attempts
2019,Eagles,385,354,5772,3833,1939,354,23,454,613
2019,Falcons,381,399,6075,4714,1361,383,25,362,684
2019,Giants,341,451,5416,3731,1685,311,33,362,607
2019,Jaguars,300,397,5468,3760,1708,298,20,389,589
2019,Jets,276,359,4368,3111,1257,253,25,383,521
2019,Lions,341,423,5549,3900,1649,313,23,407,571
2019,Packers,376,313,5528,3733,1795,320,13,411,573
2019,Panthers,340,470,5469,3650,1819,335,35,386,633
2019,Patriots,420,225,5664,3961,1703,338,15,447,620
2019,Raiders,313,419,5819,3926,1893,315,17,437,523
2019,Rams,394,364,5998,4499,1499,342,24,401,632
2019,Ravens,531,282,6521,3225,3296,386,15,596,440
2019,Saints,458,341,5982,4244,1738,347,8,405,581
2019,Seahawks,405,398,5991,3791,2200,341,20,481,517
2019,Steelers,289,303,4428,2981,1447,265,30,396,510
2019,Texans,378,385,5792,3783,2009,346,22,434,534
2019,Titans,402,331,5805,3582,2223,317,17,445,448
2019,Vikings,407,303,5656,3523,2133,314,20,476,466
2020,49ers,376,390,5922,4033,1889,350,31,437,570
2020,Bears,372,370,5302,3655,1647,335,22,393,614
2020,Bengals,311,424,5116,3448,1668,318,24,411,581
2020,Bills,501,375,6343,4620,1723,397,22,411,596
2020,Broncos,323,446,5369,3451,1918,308,32,442,556
2020,Browns,408,419,5913,3539,2374,355,16,495,501
2020,Buccaneers,492,355,6145,4626,1519,364,17,369,626
2020,Cardinals,410,367,6153,3916,2237,381,21,479,575
2020,Chargers,384,426,6113,4329,1784,373,16,466,627
2020,Chiefs,473,362,6653,4854,1799,397,16,403,630
2020,Colts,451,362,6049,4053,1996,364,15,459,552
2020,Commanders,335,329,5076,3465,1611,322,27,400,601
2020,Cowboys,395,473,5949,4161,1788,371,26,430,639
2020,Dolphins,404,338,5424,3736,1688,345,20,428,559
2020,Eagles,334,418,5354,3327,2027,336,29,403,598
2020,Falcons,396,414,5895,4363,1532,366,18,409,628
2020,Giants,280,357,4794,3026,1768,297,22,399,517
2020,Jaguars,306,492,5218,3699,1519,310,25,337,616
2020,Jets,243,457,4479,2796,1683,269,19,406,499
2020,Lions,377,519,5603,4104,1499,350,21,367,582
2020,Packers,509,369,6224,4106,2118,358,11,443,526
2020,Panthers,350,402,5592,3888,1704,335,21,407,550
2020,Patriots,326,353,5236,2890,2346,332,19,502,440
2020,Raiders,434,478,6133,4217,1916,359,26,457,551
2020,Rams,372,296,6032,4014,2018,352,25,473,590
2020,Ravens,468,303,5810,2739,3071,327,18,555,406
2020,Saints,482,337,6023,3758,2265,367,17,494,522
2020,Seahawks,459,371,5912,3941,1971,356,18,411,563
2020,Steelers,416,312,5354,4003,1351,322,18,373,656
2020,Texans,384,464,6004,4538,1466,326,18,344,546
2020,Titans,491,439,6343,3653,2690,381,12,521,485
2020,Vikings,430,475,6292,4009,2283,383,23,468,516
2021,49ers,427,365,6387,4221,2166,361,24,499,514
2021,Bears,311,407,5225,3207,2018,333,29,475,542
2021,Bengals,460,376,6145,4403,1742,337,21,436,555
2021,Bills,483,289,6493,4284,2209,398,22,461,655
2021,Broncos,335,322,5618,3593,2025,331,18,455,541
2021,Browns,349,371,5791,3320,2471,342,22,485,520
2021,Buccaneers,511,353,6901,5229,1672,404,19,385,731
2021,Cardinals,449,366,6352,4276,2076,367,15,496,591
2021,Chargers,474,459,6634,4800,1834,401,22,423,674
2021,Chiefs,480,364,6746,4791,1955,419,25,431,675
2021,Colts,451,365,5901,3361,2540,354,19,499,521
2021,Commanders,335,434,5502,3441,2061,345,24,477,550
2021,Cowboys,530,358,6919,4800,2119,390,20,473,647
2021,Dolphins,341,373,5219,3651,1568,325,26,442,615
2021,Eagles,444,385,6119,3404,2715,352,16,550,494
2021,Falcons,313,459,5164,3713,1451,306,26,393,573
2021,Giants,258,416,4884,3196,1688,299,30,419,593
2021,Jaguars,253,457,5191,3436,1755,304,29,392,604
2021,Jets,310,504,5208,3541,1667,310,27,380,603
2021,Lions,325,467,5484,3598,1886,329,23,427,593
2021,Packers,450,371,6215,4315,1900,375,13,446,593
2021,Panthers,304,404,5081,3239,1842,322,29,455,599
2021,Patriots,462,303,6008,3857,2151,362,23,489,535
2021,Raiders,374,439,6184,4567,1617,349,24,414,628
2021,Rams,460,372,6325,4642,1683,355,23,420,607
2021,Ravens,387,392,6440,3961,2479,394,26,517,611
2021,Saints,364,335,5177,3186,1991,307,18,510,504
2021,Seahawks,395,366,5506,3432,2074,302,13,413,495
2021,Steelers,343,398,5361,3778,1583,323,20,411,664
2021,Texans,280,452,4727,3305,1422,266,22,420,546
2021,Titans,419,354,5822,3418,2404,362,25,551,535
2021,Vikings,425,426,6168,4238,1930,332,13,449,604
2022,49ers,450,277,6216,3856,2360,347,17,504,512
2022,Bears,326,463,5233,2219,3014,278,25,558,377
2022,Bengals,418,322,5768,4240,1528,357,18,399,610
2022,Bills,455,286,6361,4129,2232,367,27,430,574
2022,Broncos,287,359,5527,3592,1935,300,24,444,571
2022,Browns,361,381,5934,3444,2490,350,21,532,540
2022,Buccaneers,313,358,5894,4586,1308,346,22,386,751
2022,Cardinals,340,449,5499,3626,1873,326,25,434,664
2022,Chargers,391,384,6108,4584,1524,352,19,404,711
2022,Chiefs,496,369,7032,5062,1970,408,23,417,651
2022,Colts,289,427,5298,3432,1866,310,34,439,604
2022,Commanders,321,343,5615,3472,2143,339,23,538,554
2022,Cowboys,467,342,6034,3736,2298,347,23,531,556
2022,Dolphins,397,399,6197,4511,1686,342,21,390,584
2022,Eagles,477,344,6614,4105,2509,385,19,544,536
2022,Falcons,365,386,5417,2699,2718,330,21,559,415
2022,Giants,365,371,5676,3157,2519,352,16,520,520
2022,Jaguars,404,350,6075,3959,2116,352,22,448,596
2022,Jets,296,316,5409,3723,1686,294,23,405,627
2022,Lions,453,427,6460,4281,2179,376,15,480,588
2022,Packers,370,371,5745,3632,2113,334,22,456,563
2022,Panthers,347,374,5206,2996,2210,281,21,483,457
2022,Patriots,364,347,5348,3536,1812,288,23,425,540
2022,Raiders,395,418,5993,3934,2059,343,21,428,586
2022,Rams,307,384,4769,3108,1661,293,23,411,531
2022,Ravens,350,315,5760,3040,2720,337,21,526,488
2022,Saints,330,345,5674,3692,1982,305,25,465,512
2022,Seahawks,407,401,5976,3934,2042,346,23,425,573
2022,Steelers,308,346,5484,3411,2073,345,19,500,571
2022,Texans,289,420,4820,3344,1476,277,28,398,579
2022,Titans,298,359,5045,2914,2131,277,23,487,456
2022,Vikings,424,427,6145,4484,1661,382,23,404,672
2023,49ers,491,298,6773,4384,2389,383,18,499,491
2023,Bears,360,379,5495,3096,2399,322,25,534,513
2023,Bengals,366,384,5422,3895,1527,329,16,383,615
2023,Bills,451,311,6366,4154,2212,381,28,512,579
2023,Broncos,357,413,5072,3262,1810,301,22,451,513
2023,Browns,396,362,5710,3693,2017,325,37,518,624
2023,Buccaneers,348,325,5321,3812,1509,300,18,439,568
2023,Cardinals,330,455,5509,3144,2365,330,18,471,555
2023,Chargers,346,398,5599,3957,1642,319,21,431,632
2023,Chiefs,371,294,5973,4189,1784,350,28,417,635
2023,Colts,396,415,5725,3666,2059,324,22,479,574
2023,Commanders,329,518,5317,3725,1592,321,32,359,636
2023,Cowboys,509,315,6317,4397,1920,385,16,468,614
2023,Dolphins,496,391,6822,4514,2308,360,25,456,566
2023,Eagles,433,428,6024,3834,2190,377,28,510,563
2023,Falcons,321,373,5683,3524,2159,326,28,522,530
