Year,Name,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,REC_YACR,TotalYards,TotalTDs,Age,Pos
2015,Darren McFadden,1089.0,239.0,3.0,40.0,328.0,0.0,54.0,322.0,1417.0,3.0,28.0,RB
2015,Darren Sproles,317.0,83.0,3.0,55.0,388.0,1.0,84.0,376.0,705.0,4.0,32.0,RB
2015,Darren Waller,0.0,0.0,0.0,2.0,18.0,0.0,6.0,13.0,18.0,0.0,Unknown,TE
2015,Darrius Heyward-Bey,0.0,0.0,0.0,21.0,314.0,2.0,39.0,83.0,314.0,2.0,28.0,WR
2015,Davante Adams,0.0,0.0,0.0,50.0,483.0,1.0,93.0,141.0,483.0,1.0,23.0,WR
2015,David Cobb,146.0,52.0,1.0,1.0,-2.0,0.0,2.0,3.0,144.0,1.0,22.0,RB
2015,David Johnson,581.0,125.0,8.0,36.0,457.0,4.0,57.0,356.0,1038.0,12.0,24.0,RB
2015,David Johnson,581.0,125.0,8.0,1.0,4.0,0.0,3.0,4.0,585.0,8.0,24.0,RB
2015,David Johnson,4.0,2.0,0.0,36.0,457.0,4.0,57.0,356.0,461.0,4.0,24.0,RB
2015,David Johnson,4.0,2.0,0.0,1.0,4.0,0.0,3.0,4.0,8.0,0.0,24.0,RB
2015,De'Anthony Thomas,34.0,9.0,1.0,17.0,140.0,1.0,24.0,154.0,174.0,2.0,22.0,RB
2015,DeAndre Hopkins,0.0,0.0,0.0,111.0,1521.0,11.0,192.0,219.0,1521.0,11.0,23.0,WR
2015,DeAngelo Williams,907.0,200.0,11.0,40.0,367.0,0.0,47.0,371.0,1274.0,11.0,32.0,RB
2015,DeMarco Murray,702.0,193.0,6.0,44.0,322.0,1.0,55.0,402.0,1024.0,7.0,27.0,RB
2015,DeSean Jackson,0.0,0.0,0.0,30.0,528.0,4.0,49.0,155.0,528.0,4.0,29.0,WR
2015,DeVante Parker,0.0,0.0,0.0,26.0,494.0,3.0,51.0,110.0,494.0,3.0,22.0,WR
2015,Delanie Walker,36.0,1.0,0.0,94.0,1088.0,6.0,134.0,391.0,1124.0,6.0,31.0,TE
2015,Demaryius Thomas,0.0,0.0,0.0,105.0,1304.0,6.0,176.0,495.0,1304.0,6.0,28.0,WR
2015,Demetrius Harris,0.0,0.0,0.0,7.0,74.0,1.0,12.0,21.0,74.0,1.0,24.0,TE
2015,Denard Robinson,266.0,67.0,1.0,21.0,164.0,0.0,30.0,156.0,430.0,1.0,25.0,WR
2015,Deonte Thompson,0.0,0.0,0.0,2.0,81.0,0.0,3.0,6.0,81.0,0.0,Unknown,WR
2015,Derek Carrier,0.0,0.0,0.0,17.0,141.0,1.0,22.0,81.0,141.0,1.0,25.0,TE
2015,Devin Funchess,0.0,0.0,0.0,31.0,473.0,5.0,64.0,114.0,473.0,5.0,21.0,WR
2015,Devin Smith,0.0,0.0,0.0,9.0,115.0,1.0,28.0,23.0,115.0,1.0,23.0,WR
2015,Devin Street,0.0,0.0,0.0,7.0,114.0,1.0,13.0,14.0,114.0,1.0,24.0,WR
2015,Devonta Freeman,1056.0,265.0,11.0,73.0,578.0,3.0,97.0,445.0,1634.0,14.0,23.0,RB
