Year,Name,Position,Age,Height (in),Weight (lbs),RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate
2022,Alec Pierce,WR,22,75,213,0,0,0,41,593,2,78,113,593,2,Colts,IND,289,427,5298,604,3432,17,439,1866,8,310,34,45.83%,0.054549,5.682119,4.250569,0.032598
2023,Alec Pierce,WR,23,75,213,0,0,0,32,514,2,65,97,514,2,Colts,IND,396,415,5725,574,3666,18,479,2059,19,324,22,49.12%,0.06917,6.38676,4.298539,0.020893
2016,Alex Collins,RB,22,70,217,125,31,1,11,84,0,11,83,209,1,Seahawks,SEA,354,292,5715,567,4124,23,403,1591,13,313,18,47.62%,0.061942,7.273369,3.947891,0.018557
2017,Alex Collins,RB,23,70,210,973,212,6,23,187,0,36,191,1160,6,Ravens,BAL,395,303,4886,567,3030,20,460,1856,14,311,17,57.69%,0.080843,5.343915,4.034783,0.016553
2018,Alex Collins,RB,24,70,208,411,114,7,15,105,1,21,100,516,8,Ravens,BAL,389,287,5999,556,3558,18,547,2441,19,367,20,55.74%,0.064844,6.399281,4.462523,0.018132
2020,Alex Collins,RB,26,70,210,77,18,2,1,4,0,2,0,81,2,Seahawks,SEA,459,371,5912,563,3941,40,411,1971,15,356,18,73.68%,0.077639,7,4.79562,0.01848
2021,Alex Collins,RB,27,70,210,411,108,2,9,87,0,10,96,498,2,Seahawks,SEA,395,366,5506,495,3432,30,413,2074,18,302,13,64.58%,0.07174,6.933333,5.021792,0.014317
2016,Alex Erickson,WR,24,72,197,0,0,0,6,71,0,8,33,71,0,Bengals,CIN,325,315,5711,563,3942,18,446,1769,17,341,17,53.70%,0.056908,7.001776,3.966368,0.016848
2017,Alex Erickson,WR,25,72,195,16,5,0,12,180,1,16,40,196,1,Bengals,CIN,290,349,4488,510,3122,25,377,1366,6,267,23,55.81%,0.064617,6.121569,3.623342,0.02593
2018,Alex Erickson,WR,26,72,195,22,3,0,20,167,0,29,72,189,0,Bengals,CIN,368,455,4972,542,3290,27,359,1682,13,304,17,71.11%,0.074014,6.070111,4.685237,0.018868
2019,Alex Erickson,WR,27,72,195,33,5,0,43,529,0,78,230,562,0,Bengals,CIN,279,420,5169,616,3652,18,385,1517,9,312,30,43.75%,0.053976,5.928571,3.94026,0.02997
2020,Alex Erickson,WR,28,72,195,7,5,0,12,139,0,17,70,146,0,Bengals,CIN,311,424,5116,581,3448,19,411,1668,13,318,24,50.00%,0.06079,5.934596,4.058394,0.024194
2021,Alex Erickson,WR,29,72,195,0,0,0,3,55,0,4,30,55,0,Panthers,CAR,304,404,5081,599,3239,14,455,1842,17,322,29,53.19%,0.059831,5.407346,4.048352,0.027514
2019,Alexander Mattison,RB,21,71,220,462,100,1,10,82,0,12,76,544,1,Vikings,MIN,407,303,5656,466,3523,26,476,2133,19,314,20,60.66%,0.071959,7.560086,4.481092,0.021231
2020,Alexander Mattison,RB,22,71,220,434,96,2,13,125,1,15,109,559,3,Vikings,MIN,430,475,6292,516,4009,35,468,2283,20,383,23,71.19%,0.068341,7.76938,4.878205,0.023374
2021,Alexander Mattison,RB,23,71,220,491,134,3,32,228,1,39,238,719,4,Vikings,MIN,425,426,6168,604,4238,34,449,1930,10,332,13,62.26%,0.068904,7.016556,4.298441,0.012346
2022,Alexander Mattison,RB,24,71,220,283,74,5,15,91,1,18,121,374,6,Vikings,MIN,424,427,6145,672,4484,30,404,1661,18,382,23,63.24%,0.068999,6.672619,4.111386,0.021375
2023,Alexander Mattison,RB,25,71,220,700,180,0,30,192,3,44,181,892,3,Vikings,MIN,344,362,5912,631,4359,30,393,1553,7,340,34,47.06%,0.058187,6.908082,3.951654,0.033203
2015,Alfred Blue,RB,24,74,223,698,183,2,15,109,1,16,70,807,3,Texans,HST,339,313,5564,619,3833,29,472,1731,7,335,20,56.52%,0.060927,6.192246,3.667373,0.018332
2016,Alfred Blue,RB,25,74,225,420,100,1,12,40,0,16,26,460,1,Texans,HOU,279,328,5035,583,3176,15,456,1859,8,305,24,44.00%,0.055412,5.447684,4.076754,0.023099
2017,Alfred Blue,RB,26,74,225,262,71,1,7,54,0,9,39,316,1,Texans,HOU,338,436,5120,525,3278,28,448,1842,8,313,28,52.38%,0.066016,6.24381,4.111607,0.028777
2018,Alfred Blue,RB,27,74,225,499,150,2,20,154,0,27,112,653,2,Texans,HOU,402,316,5802,506,3781,26,472,2021,12,333,16,50.00%,0.069286,7.472332,4.28178,0.01636
2015,Alfred Morris,RB,27,70,224,751,202,1,10,55,0,13,38,806,1,Commanders,WAS,388,379,5661,555,4095,30,429,1566,9,317,22,58.49%,0.068539,7.445455,3.65035,0.022358
2016,Alfred Morris,RB,28,70,224,243,69,2,3,11,0,6,9,254,2,Cowboys,DAL,421,306,6027,483,3631,25,499,2396,24,358,15,65.57%,0.069852,7.517598,4.801603,0.015275
2017,Alfred Morris,RB,29,70,224,547,115,1,7,45,0,9,47,592,1,Cowboys,DAL,354,332,5311,493,3141,22,480,2170,18,314,22,59.62%,0.066654,6.371197,4.520833,0.02261
2018,Alfred Morris,RB,30,70,224,428,111,2,8,73,0,13,63,501,2,49ers,SF,342,435,5769,532,3867,26,423,1902,7,344,32,41.18%,0.059282,7.268797,4.496454,0.033508
2019,Alfred Morris,RB,31,70,222,4,1,0,0,0,0,0,0,4,0,Cardinals,ARI,361,442,5467,554,3477,20,396,1990,18,314,18,45.28%,0.066033,6.276173,5.025253,0.018947
2020,Alfred Morris,RB,32,70,224,238,55,1,3,19,1,4,17,257,2,Giants,NYG,280,357,4794,517,3026,12,399,1768,13,297,22,46.34%,0.058406,5.852998,4.431078,0.024017
2015,Allen Hurns,WR,24,75,205,0,0,0,64,1031,10,104,344,1031,10,Jaguars,JAX,376,448,5581,607,4108,35,354,1473,5,313,28,53.70%,0.067371,6.76771,4.161017,0.029136
2016,Allen Hurns,WR,25,75,201,0,0,0,35,477,3,76,212,477,3,Jaguars,JAX,318,400,5359,626,3728,24,392,1631,8,321,29,60.00%,0.059339,5.955272,4.160714,0.028487
2017,Allen Hurns,WR,26,75,201,0,0,0,39,484,2,56,181,484,2,Jaguars,JAX,417,268,5855,527,3593,21,527,2262,18,332,23,68.97%,0.071221,6.817837,4.29222,0.021822
2018,Allen Hurns,WR,27,73,208,0,0,0,20,295,2,35,82,295,2,Cowboys,DAL,339,324,5501,527,3538,22,439,1963,13,322,17,51.79%,0.061625,6.713472,4.471526,0.017598
2019,Allen Hurns,WR,28,75,195,0,0,0,32,416,2,47,101,416,2,Dolphins,MIA,306,494,4960,615,3804,22,349,1156,10,315,26,56.25%,0.061694,6.185366,3.312321,0.026971
2018,Allen Lazard,WR,23,77,222,0,0,0,1,7,0,1,2,7,0,Packers,GB,376,400,5905,640,4238,25,333,1667,14,332,15,61.70%,0.063675,6.621875,5.006006,0.015416
2019,Allen Lazard,WR,24,77,227,21,1,0,35,477,3,52,145,498,3,Packers,GB,376,313,5528,573,3733,26,411,1795,18,320,13,67.86%,0.068017,6.514834,4.367397,0.013211
2020,Allen Lazard,WR,25,77,227,17,2,0,33,451,3,46,194,468,3,Packers,GB,509,369,6224,526,4106,48,443,2118,16,358,11,76.81%,0.08178,7.806084,4.781038,0.011352
2021,Allen Lazard,WR,26,77,227,32,3,0,40,513,8,60,174,545,8,Packers,GB,450,371,6215,593,4315,39,446,1900,13,375,13,57.53%,0.072405,7.27656,4.26009,0.012512
2022,Allen Lazard,WR,27,77,227,0,2,0,60,788,6,100,248,788,6,Packers,GB,370,371,5745,563,3632,27,456,2113,12,334,22,51.85%,0.064404,6.451155,4.633772,0.02159
2023,Allen Lazard,WR,28,77,227,0,0,0,23,311,1,49,56,311,1,Jets,NYJ,268,355,4566,601,2919,11,388,1647,7,260,33,32.43%,0.058695,4.856905,4.244845,0.033367
2015,Allen Robinson,WR,22,75,215,0,0,0,80,1400,14,153,379,1400,14,Jaguars,JAX,376,448,5581,607,4108,35,354,1473,5,313,28,53.70%,0.067371,6.76771,4.161017,0.029136
2016,Allen Robinson,WR,23,75,218,0,0,0,73,883,6,151,217,883,6,Jaguars,JAX,318,400,5359,626,3728,24,392,1631,8,321,29,60.00%,0.059339,5.955272,4.160714,0.028487
2017,Allen Robinson,WR,24,75,211,0,0,0,1,17,0,1,2,17,0,Jaguars,JAX,417,268,5855,527,3593,21,527,2262,18,332,23,68.97%,0.071221,6.817837,4.29222,0.021822
2018,Allen Robinson,WR,25,75,210,9,1,0,55,754,4,94,239,763,4,Bears,CHI,421,283,5502,512,3564,28,468,1938,16,331,24,63.16%,0.076518,6.960938,4.141026,0.02449
2019,Allen Robinson,WR,26,74,220,2,1,0,98,1147,7,154,279,1149,7,Bears,CHI,280,298,4749,580,3291,20,395,1458,8,297,19,52.17%,0.05896,5.674138,3.691139,0.019487
2020,Allen Robinson,WR,27,74,220,-1,1,0,102,1250,6,151,344,1249,6,Bears,CHI,372,370,5302,614,3655,26,393,1647,12,335,22,56.14%,0.070162,5.952769,4.19084,0.021847
2021,Allen Robinson,WR,28,74,220,0,0,0,38,410,1,66,92,410,1,Bears,CHI,311,407,5225,542,3207,16,475,2018,14,333,29,47.92%,0.059522,5.916974,4.248421,0.028515
2022,Allen Robinson,WR,29,74,220,0,0,0,33,339,3,52,71,339,3,Rams,LA,307,384,4769,531,3108,16,411,1661,15,293,23,55.56%,0.064374,5.853107,4.041363,0.024416
2023,Allen Robinson,WR,30,74,220,0,0,0,34,280,0,49,68,280,0,Steelers,PIT,304,324,5173,506,3163,13,487,2010,16,287,16,48.89%,0.058767,6.250988,4.12731,0.016113
2015,Alshon Jeffery,WR,25,75,216,0,0,0,54,807,4,93,190,807,4,Bears,CHI,335,397,5514,523,3663,21,469,1851,13,312,21,48.98%,0.060754,7.003824,3.946695,0.021169
2016,Alshon Jeffery,WR,26,75,218,0,0,0,52,821,2,95,212,821,2,Bears,CHI,279,399,5704,559,3969,19,380,1735,10,324,31,51.02%,0.048913,7.100179,4.565789,0.033014
2017,Alshon Jeffery,WR,27,75,218,0,0,0,57,789,9,120,223,789,9,Eagles,PHI,457,295,5852,564,3737,38,473,2115,9,338,20,64.06%,0.078093,6.625887,4.471459,0.019286
2018,Alshon Jeffery,WR,28,75,218,0,0,0,65,843,6,92,290,843,6,Eagles,PHI,367,348,5845,599,4275,29,398,1570,12,346,23,59.02%,0.062789,7.136895,3.944724,0.023069
2019,Alshon Jeffery,WR,29,75,218,2,1,1,43,490,4,73,133,492,5,Eagles,PHI,385,354,5772,613,3833,27,454,1939,16,354,23,63.16%,0.066701,6.252855,4.270925,0.021556
