Year,Name,Position,Age,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs
2015,Donteea Dye,WR,22,0,0,0,11,132,1,30,38,132,1
2015,Dontrelle Inman,WR,26,0,0,0,35,486,3,65,182,486,3
2015,Dorial Green-Beckham,WR,22,0,0,0,32,549,4,66,149,549,4
2015,Doug Baldwin,WR,27,0,0,0,78,1069,14,104,438,1069,14
2015,Doug Martin,RB,26,1402,288,6,33,271,1,42,229,1673,7
2015,DuJuan Harris,RB,27,189,48,0,9,97,0,14,101,286,0
2015,Duke Johnson,RB,22,379,104,0,61,534,2,74,479,913,2
2015,Dwayne Allen,TE,25,1,1,0,16,109,1,29,60,110,1
2015,Dwayne Harris,WR,28,12,2,0,36,396,4,57,137,408,4
2015,Ed Dickson,TE,28,0,0,0,17,121,2,26,57,121,2
2015,Eddie Lacy,RB,25,758,187,3,20,188,2,28,220,946,5
2015,Eddie Royal,WR,29,-1,1,0,37,238,1,50,187,237,1
2015,Emmanuel Sanders,WR,28,29,3,0,76,1135,6,137,375,1164,6
2015,Eric Decker,WR,28,0,0,0,80,1027,12,131,224,1027,12
2015,Eric Ebron,TE,22,0,0,0,47,537,5,69,298,537,5
2015,Fitzgerald Toussaint,RB,25,42,18,0,0,0,0,0,0,42,0
2015,Fozzy Whittaker,RB,26,108,25,1,12,64,0,15,110,172,1
2015,Frank Gore,RB,32,967,260,6,34,267,1,59,287,1234,7
2015,Fred Jackson,RB,34,100,26,0,32,257,2,41,262,357,2
2015,Garrett Celek,TE,27,0,0,0,19,186,3,28,102,186,3
2015,Garrett Graham,TE,29,0,0,0,4,30,1,19,9,30,1
2015,Gary Barnidge,TE,30,0,0,0,79,1043,9,123,362,1043,9
2015,Gavin Escobar,TE,24,0,0,0,8,64,1,13,34,64,1
2015,Geoff Swaim,TE,22,0,0,0,1,0,0,1,0,0,0
2015,Giovani Bernard,RB,24,730,154,2,49,472,0,66,478,1202,2
2015,Golden Tate,WR,27,41,6,0,90,813,6,128,549,854,6
2015,Greg Jennings,WR,32,0,0,0,19,208,1,35,67,208,1
2015,Greg Olsen,TE,30,0,0,0,77,1104,7,123,366,1104,7
2015,Greg Salas,WR,27,0,0,0,3,41,0,5,13,41,0
2015,Griff Whalen,WR,25,0,0,0,19,205,1,26,54,205,1
2015,Harry Douglas,WR,31,-6,1,0,36,411,2,71,132,405,2
2015,Heath Miller,TE,33,2,1,0,60,535,2,81,210,537,2
2015,Isaiah Crowell,RB,22,706,185,4,19,182,1,22,221,888,5
2015,Jack Doyle,TE,25,0,0,0,12,72,1,14,55,72,1
2015,Jacob Tamme,TE,30,0,0,0,59,657,1,82,217,657,1
2015,Jacquizz Rodgers,RB,25,41,14,0,1,10,0,3,15,51,0
2015,Jaelen Strong,WR,21,0,0,0,14,161,3,24,70,161,3
2015,Jake Stoneburner,TE,26,0,0,0,5,47,2,5,14,47,2
2015,Jalston Fowler,RB,25,13,7,1,5,44,1,6,42,57,2
2015,Jamaal Charles,RB,29,364,71,4,21,177,1,30,212,541,5
2015,James Hanna,TE,26,0,0,0,9,79,0,14,76,79,0
2015,James Jones,WR,31,0,0,0,50,890,8,100,230,890,8
2015,James O'Shaughnessy,TE,23,0,0,0,6,87,0,9,59,87,0
2015,James Starks,RB,29,601,148,2,43,392,3,53,479,993,5
2015,James White,RB,23,56,22,2,40,410,4,54,357,466,6
2015,Jamison Crowder,WR,22,2,2,0,59,604,2,79,339,606,2
2015,Jared Cook,TE,28,0,0,0,39,481,0,73,200,481,0
2015,Jarius Wright,WR,26,29,1,0,34,442,0,49,176,471,0
2015,Jaron Brown,WR,25,0,0,0,11,144,1,23,27,144,1
2015,Jarvis Landry,WR,23,113,18,1,110,1157,4,165,567,1270,5
2015,Jason Witten,TE,33,0,0,0,77,713,3,104,230,713,3
2015,Javorius Allen,RB,24,514,137,1,45,353,2,61,330,867,3
2015,Jay Ajayi,RB,22,187,49,1,7,90,0,11,84,277,1
2015,Jeff Janis,WR,24,0,0,0,2,79,0,11,29,79,0
2015,Jeremy Hill,RB,23,794,223,11,15,79,1,19,88,873,12
2015,Jeremy Kerley,WR,27,0,0,0,16,152,2,26,97,152,2
2015,Jeremy Langford,RB,24,537,148,6,22,279,1,42,237,816,7
2015,Jeremy Maclin,WR,27,14,3,0,87,1088,8,124,342,1102,8
2015,Jeremy Ross,WR,27,2,1,0,9,88,0,14,71,90,0
2015,Jerick McKinnon,RB,23,271,52,2,21,173,1,29,177,444,3
2015,Jermaine Gresham,TE,27,0,0,0,18,223,1,32,79,223,1
2015,Jermaine Kearse,WR,25,0,0,0,49,685,5,68,232,685,5
2015,Jerome Simpson,WR,29,0,0,0,5,54,1,19,16,54,1
2015,Jerricho Cotchery,WR,33,16,1,0,39,485,3,53,201,501,3
2015,Jesse James,TE,21,0,0,0,8,56,1,11,24,56,1
2015,Jimmy Graham,TE,29,0,0,0,48,605,2,73,232,605,2
2015,John Brown,WR,25,22,3,0,65,1003,7,101,335,1025,7
2015,John Kuhn,RB,33,28,9,2,6,56,0,10,62,84,2
2015,John Phillips,TE,28,0,0,0,10,69,1,11,25,69,1
2015,Joique Bell,RB,29,311,90,4,22,286,0,27,311,597,4
2015,Jonathan Grimes,RB,26,282,56,1,26,173,1,31,144,455,2
2015,Jonathan Stewart,RB,28,989,242,6,16,99,1,21,117,1088,7
2015,Jordan Cameron,TE,27,0,0,0,35,386,3,70,90,386,3
2015,Jordan Matthews,WR,23,0,0,0,85,997,8,127,447,997,8
2015,Jordan Norwood,WR,29,0,0,0,22,207,0,32,74,207,0
2015,Jordan Reed,TE,25,0,0,0,87,952,11,114,480,952,11
2015,Jordan Todman,RB,25,22,4,0,0,0,0,2,0,22,0
2015,Joseph Randle,RB,24,315,76,4,10,86,0,10,81,401,4
2015,Josh Bellamy,WR,26,0,0,0,19,224,2,35,68,224,2
2015,Josh Hill,TE,25,0,0,0,16,120,2,30,78,120,2
2015,Josh Huff,WR,24,0,0,0,27,312,3,40,185,312,3
2015,Julian Edelman,WR,29,23,3,0,61,692,7,88,327,715,7
2015,Julio Jones,WR,26,0,0,0,136,1871,8,204,665,1871,8
2015,Julius Thomas,TE,27,0,0,0,46,455,5,79,143,455,5
2015,Justin Forsett,RB,30,641,151,2,31,153,0,41,141,794,2
2015,Justin Hardy,WR,24,0,0,0,21,194,0,36,64,194,0
2015,Justin Hunter,WR,24,0,0,0,22,264,1,31,36,264,1
2015,Justin Perillo,TE,24,0,0,0,11,102,1,13,22,102,1
2015,Juwan Thompson,RB,23,48,18,0,6,51,0,9,69,99,0
2015,Ka'Deem Carey,RB,23,159,43,2,3,19,1,3,9,178,3
2015,Kamar Aiken,WR,26,0,0,0,75,944,5,127,225,944,5
2015,Karlos Williams,RB,22,517,93,7,11,96,2,14,50,613,9
2015,Keenan Allen,WR,23,0,0,0,67,725,4,89,261,725,4
2015,Kellen Davis,TE,30,0,0,0,3,18,1,11,11,18,1
2015,Kendall Wright,WR,26,17,5,0,36,408,3,61,160,425,3
2015,Kenjon Barner,RB,26,124,28,0,9,22,0,12,47,146,0
2015,Kenny Britt,WR,27,0,0,0,36,681,3,72,120,681,3
2015,Kenny Stills,WR,23,0,0,0,27,440,3,63,109,440,3
2015,Kerwynn Williams,RB,24,142,27,1,2,16,0,2,7,158,1
2015,Keshawn Martin,WR,25,6,1,0,24,269,2,37,79,275,2
2015,Khiry Robinson,RB,26,180,56,4,17,115,0,20,152,295,4
2015,Knile Davis,RB,24,72,28,1,2,24,0,3,24,96,1
2015,Kyle Juszczyk,RB,24,3,2,0,41,321,4,56,270,324,4
2015,Kyle Rudolph,TE,26,0,0,0,49,495,5,71,211,495,5
2015,Ladarius Green,TE,25,0,0,0,37,429,4,63,224,429,4
2015,Lamar Miller,RB,24,872,194,8,47,397,2,57,437,1269,10
2015,Lance Dunbar,RB,25,67,5,0,21,215,0,23,150,282,0
2015,Lance Kendricks,TE,27,0,0,0,25,245,2,39,129,245,2
2015,Lance Moore,WR,32,0,0,0,29,337,4,43,68,337,4
2015,Larry Donnell,TE,27,0,0,0,29,223,2,41,89,223,2
2015,Larry Fitzgerald,WR,32,0,0,0,109,1215,9,145,472,1215,9
2015,Latavius Murray,RB,25,1066,266,6,41,232,0,53,252,1298,6
2015,Le'Veon Bell,RB,23,556,113,3,24,136,0,26,139,692,3
2015,Lee Smith,TE,28,0,0,0,12,70,1,13,64,70,1
2015,LeGarrette Blount,RB,29,703,165,6,6,43,1,7,32,746,7
2015,Leonard Hankerson,WR,26,0,0,0,26,327,3,45,120,327,3
2015,LeSean McCoy,RB,27,895,203,3,32,292,2,50,290,1187,5
2015,Levine Toilolo,TE,24,0,0,0,7,44,0,12,20,44,0
2015,Lorenzo Taliaferro,RB,24,47,13,1,5,29,0,5,27,76,1
2015,Louis Murphy,WR,28,0,0,0,10,198,0,18,43,198,0
2015,Luke Stocker,TE,27,0,0,0,9,61,1,13,39,61,1
2015,Luke Willson,TE,25,0,0,0,17,213,1,25,107,213,1
2015,Malcolm Brown,RB,22,17,4,0,1,-2,0,1,3,15,0
2015,Malcom Floyd,WR,34,0,0,0,30,561,3,69,101,561,3
2015,Marcedes Lewis,TE,31,0,0,0,16,226,0,37,162,226,0
2015,Marcel Reece,RB,30,36,10,0,30,269,3,36,238,305,3
2015,Marcus Easley,WR,28,0,0,0,1,58,1,3,16,58,1
2015,Marcus Murphy,RB,24,0,1,0,0,0,0,0,0,0,0
2015,Mark Ingram,RB,26,769,166,6,50,405,0,60,464,1174,6
2015,Markus Wheaton,WR,24,0,0,0,44,749,5,79,169,749,5
2015,Marlon Moore,WR,28,0,0,0,7,81,1,10,32,81,1
2015,Marqise Lee,WR,24,38,5,0,15,191,1,32,97,229,1
