Year,Team,Team (Abbr),Points Scored,Points Allowed,Total Yards,Passing Yards,Rushing Yards,First Downs,Turnovers,Rush Attempts,Pass Attempts,RZSP,OffensiveEfficiency,PassingEfficiency,RushingEfficiency,TurnoverRate,Team PassingTDs,Team Rushing TDs
2017,Panthers,CAR,363,327,5179,3077,2102,320,22,490,501,51.79%,0.070091,6.141717,4.289796,0.0222,22,15
2017,Patriots,NE,458,296,6307,4418,1889,389,12,448,587,62.65%,0.072618,7.526405,4.216518,0.011594,32,16
2017,Raiders,OAK,301,373,5185,3631,1554,287,28,370,558,58.82%,0.058052,6.507168,4.2,0.030172,23,13
2017,Rams,LA,478,329,5784,3831,1953,311,21,454,518,53.42%,0.082642,7.395753,4.301762,0.021605,28,17
2017,Ravens,BAL,395,303,4886,3030,1856,311,17,460,567,57.69%,0.080843,5.343915,4.034783,0.016553,20,14
2017,Saints,NO,448,326,6259,4189,2070,332,18,444,536,61.29%,0.071577,7.815299,4.662162,0.018367,23,23
2017,Seahawks,SEA,366,332,5286,3657,1629,299,17,409,555,55.56%,0.06924,6.589189,3.982885,0.017635,34,4
2017,Steelers,PIT,406,308,6047,4380,1667,348,20,437,590,53.03%,0.067141,7.423729,3.814645,0.019474,29,12
2017,Texans,HOU,338,436,5120,3278,1842,313,28,448,525,52.38%,0.066016,6.24381,4.111607,0.028777,28,8
2017,Titans,TEN,334,356,5024,3191,1833,290,25,443,496,54.55%,0.066481,6.433468,4.137698,0.026624,14,18
2017,Vikings,MIN,382,252,5710,3753,1957,334,14,501,527,55.56%,0.0669,7.121442,3.906188,0.013619,25,15
2018,49ers,SF,342,435,5769,3867,1902,344,32,423,532,41.18%,0.059282,7.268797,4.496454,0.033508,26,7
2018,Bears,CHI,421,283,5502,3564,1938,331,24,468,512,63.16%,0.076518,6.960938,4.141026,0.02449,28,16
2018,Bengals,CIN,368,455,4972,3290,1682,304,17,359,542,71.11%,0.074014,6.070111,4.685237,0.018868,27,13
2018,Bills,BUF,269,374,4778,2794,1984,283,32,468,499,59.46%,0.0563,5.599198,4.239316,0.033092,13,15
2018,Broncos,DEN,329,349,5602,3695,1907,320,21,393,588,56.82%,0.058729,6.284014,4.852417,0.021407,19,18
2018,Browns,CLE,359,392,5900,4007,1893,314,24,411,574,66.67%,0.060847,6.980836,4.605839,0.024365,29,15
2018,Buccaneers,TB,396,464,6648,5125,1523,388,35,389,625,60.00%,0.059567,8.2,3.915167,0.034517,36,11
2018,Cardinals,ARI,225,425,3865,2523,1342,239,28,355,495,64.29%,0.058215,5.09697,3.780282,0.032941,15,9
2018,Chargers,LAC,428,329,5962,4089,1873,338,19,399,512,64.41%,0.071788,7.986328,4.694236,0.020856,32,16
2018,Chiefs,KC,565,421,6810,4955,1855,384,18,387,583,73.08%,0.082966,8.499142,4.793282,0.018557,50,16
2018,Colts,IND,433,344,6179,4461,1718,371,24,408,644,67.14%,0.070076,6.927019,4.210784,0.022814,39,13
2018,Commanders,WAS,281,359,4795,3021,1774,280,19,414,509,52.50%,0.05860271116,5.492727273,4.285024155,0.02058504875,16,12
2018,Cowboys,DAL,339,324,5501,3538,1963,322,17,439,527,51.79%,0.061625,6.713472,4.471526,0.017598,22,13
2018,Dolphins,MIA,319,433,4638,2900,1738,252,23,371,455,51.61%,0.06878,6.373626,4.684636,0.027845,26,7
2018,Eagles,PHI,367,348,5845,4275,1570,346,23,398,599,59.02%,0.062789,7.136895,3.944724,0.023069,29,12
2018,Falcons,ATL,414,423,6226,4653,1573,352,18,351,617,64.00%,0.066495,7.541329,4.481481,0.018595,36,11
2018,Giants,NYG,369,412,5697,4047,1650,297,19,354,583,50.00%,0.064771,6.941681,4.661017,0.020277,23,13
2018,Jaguars,JAX,245,316,4832,3109,1723,277,29,416,536,44.12%,0.050704,5.800373,4.141827,0.030462,15,7
2018,Jets,NYJ,333,441,4787,3165,1622,258,30,410,524,44.44%,0.069563,6.040076,3.956098,0.03212,18,11
2018,Lions,DET,324,360,5236,3576,1660,325,19,404,574,53.06%,0.061879,6.229965,4.108911,0.019427,22,11
2018,Packers,GB,376,400,5905,4238,1667,332,15,333,640,61.70%,0.063675,6.621875,5.006006,0.015416,25,14
2018,Panthers,CAR,376,382,5972,3836,2136,356,22,416,563,62.07%,0.06296,6.813499,5.134615,0.022472,28,17
2018,Patriots,NE,436,325,6295,4258,2037,365,18,478,574,62.86%,0.069261,7.418118,4.261506,0.01711,29,18
2018,Raiders,OAK,290,467,5379,3751,1628,300,24,387,556,53.49%,0.053913,6.746403,4.206718,0.025451,19,9
2018,Rams,LA,527,384,6738,4507,2231,401,19,459,568,56.82%,0.078213,7.934859,4.860566,0.0185,32,23
2018,Ravens,BAL,389,287,5999,3558,2441,367,20,547,556,55.74%,0.064844,6.399281,4.462523,0.018132,18,19
2018,Saints,NO,504,353,6067,4042,2025,377,16,471,519,68.42%,0.083072,7.788054,4.299363,0.016162,33,26
2018,Seahawks,SEA,428,347,5653,3093,2560,329,11,534,427,65.52%,0.075712,7.24356,4.794007,0.011446,35,15
2018,Steelers,PIT,428,360,6453,5008,1445,378,26,345,689,73.47%,0.066326,7.268505,4.188406,0.025145,35,16
2018,Texans,HOU,402,316,5802,3781,2021,333,16,472,506,50.00%,0.069286,7.472332,4.28178,0.01636,26,12
2018,Titans,TEN,310,303,4998,2975,2023,289,18,454,437,53.19%,0.062025,6.80778,4.455947,0.020202,16,15
2018,Vikings,MIN,360,341,5529,4036,1493,310,20,357,606,54.00%,0.065111,6.660066,4.182073,0.020768,30,9
2019,49ers,SF,479,310,6097,3792,2305,336,23,498,478,55.56%,0.078563,7.933054,4.628514,0.023566,28,23
2019,Bears,CHI,280,298,4749,3291,1458,297,19,395,580,52.17%,0.05896,5.674138,3.691139,0.019487,20,8
2019,Bengals,CIN,279,420,5169,3652,1517,312,30,385,616,43.75%,0.053976,5.928571,3.94026,0.02997,18,9
2019,Bills,BUF,314,259,5283,3229,2054,314,19,465,513,56.52%,0.059436,6.294347,4.417204,0.019427,21,13
2019,Broncos,DEN,282,316,4777,3115,1662,279,16,409,504,47.62%,0.059033,6.180556,4.06357,0.017525,16,11
2019,Browns,CLE,335,393,5455,3554,1901,305,28,393,539,58.00%,0.061412,6.593692,4.83715,0.030043,22,15
2019,Buccaneers,TB,458,449,6366,4845,1521,353,41,409,630,64.81%,0.071945,7.690476,3.718826,0.039461,33,15
2019,Cardinals,ARI,361,442,5467,3477,1990,314,18,396,554,45.28%,0.066033,6.276173,5.025253,0.018947,20,18
2019,Chargers,LAC,337,345,5879,4426,1453,349,31,366,597,52.83%,0.057323,7.413735,3.969945,0.032191,24,12
2019,Chiefs,KC,451,308,6067,4498,1569,350,15,375,576,60.00%,0.074337,7.809028,4.184,0.015773,30,16
2019,Colts,IND,361,373,5238,3108,2130,340,21,471,513,64.29%,0.068919,6.05848,4.522293,0.021341,22,17
2019,Commanders,WAS,266,435,4395,2812,1583,248,21,356,479,48.78%,0.06052332196,5.112727273,4.446629213,0.0251497006,18,9
2019,Cowboys,DAL,434,321,6904,4751,2153,379,18,449,597,57.41%,0.062862,7.958124,4.7951,0.017208,30,18
2019,Dolphins,MIA,306,494,4960,3804,1156,315,26,349,615,56.25%,0.061694,6.185366,3.312321,0.026971,22,10
2019,Eagles,PHI,385,354,5772,3833,1939,354,23,454,613,63.16%,0.066701,6.252855,4.270925,0.021556,27,16
2019,Falcons,ATL,381,399,6075,4714,1361,383,25,362,684,51.67%,0.062716,6.891813,3.759669,0.023901,29,10
2019,Giants,NYG,341,451,5416,3731,1685,311,33,362,607,57.14%,0.062962,6.146623,4.654696,0.034056,30,11
2019,Jaguars,JAX,300,397,5468,3760,1708,298,20,389,589,40.43%,0.054865,6.383701,4.390746,0.02045,24,3
2019,Jets,NYJ,276,359,4368,3111,1257,253,25,383,521,54.55%,0.063187,5.971209,3.281984,0.027655,19,6
2019,Lions,DET,341,423,5549,3900,1649,313,23,407,571,59.52%,0.061453,6.830123,4.051597,0.023517,28,7
2019,Packers,GB,376,313,5528,3733,1795,320,13,411,573,67.86%,0.068017,6.514834,4.367397,0.013211,26,18
2019,Panthers,CAR,340,470,5469,3650,1819,335,35,386,633,58.00%,0.062169,5.766193,4.712435,0.034347,17,20
2019,Patriots,NE,420,225,5664,3961,1703,338,15,447,620,49.21%,0.074153,6.38871,3.809843,0.014058,25,17
2019,Raiders,OAK,313,419,5819,3926,1893,315,17,437,523,52.83%,0.053789,7.506692,4.331808,0.017708,22,13
2019,Rams,LA,394,364,5998,4499,1499,342,24,401,632,64.41%,0.065689,7.118671,3.738155,0.023233,22,20
2019,Ravens,BAL,531,282,6521,3225,3296,386,15,596,440,64.71%,0.081429,7.329545,5.530201,0.014479,37,21
2019,Saints,NO,458,341,5982,4244,1738,347,8,405,581,59.32%,0.076563,7.304647,4.291358,0.008114,36,12
2019,Seahawks,SEA,405,398,5991,3791,2200,341,20,481,517,64.62%,0.067601,7.332689,4.573805,0.02004,31,15
2019,Steelers,PIT,289,303,4428,2981,1447,265,30,396,510,35.00%,0.065266,5.845098,3.65404,0.033113,18,7
2019,Texans,HOU,378,385,5792,3783,2009,346,22,434,534,62.71%,0.065262,7.08427,4.629032,0.022727,27,17
2019,Titans,TEN,402,331,5805,3582,2223,317,17,445,448,77.36%,0.069251,7.995536,4.995506,0.019037,29,21
2019,Vikings,MIN,407,303,5656,3523,2133,314,20,476,466,60.66%,0.071959,7.560086,4.481092,0.021231,26,19
2020,49ers,SF,376,390,5922,4033,1889,350,31,437,570,67.27%,0.063492,7.075439,4.322654,0.030785,25,19
2020,Bears,CHI,372,370,5302,3655,1647,335,22,393,614,56.14%,0.070162,5.952769,4.19084,0.021847,26,12
2020,Bengals,CIN,311,424,5116,3448,1668,318,24,411,581,50.00%,0.06079,5.934596,4.058394,0.024194,19,13
2020,Bills,BUF,501,375,6343,4620,1723,397,22,411,596,61.04%,0.078985,7.751678,4.192214,0.021847,40,16
2020,Broncos,DEN,323,446,5369,3451,1918,308,32,442,556,53.33%,0.06016,6.206835,4.339367,0.032064,21,13
2020,Browns,CLE,408,419,5913,3539,2374,355,16,495,501,73.33%,0.069001,7.063872,4.79596,0.016064,27,21
2020,Buccaneers,TB,492,355,6145,4626,1519,364,17,369,626,64.56%,0.080065,7.389776,4.116531,0.017085,42,16
2020,Cardinals,ARI,410,367,6153,3916,2237,381,21,479,575,65.52%,0.066634,6.810435,4.670146,0.019924,27,22
2020,Chargers,LAC,384,426,6113,4329,1784,373,16,466,627,57.14%,0.062817,6.904306,3.828326,0.014639,31,12
2020,Chiefs,KC,473,362,6653,4854,1799,397,16,403,630,58.90%,0.071096,7.704762,4.46402,0.015489,40,13
2020,Colts,IND,451,362,6049,4053,1996,364,15,459,552,56.92%,0.074558,7.342391,4.348584,0.014837,24,20
2020,Commanders,WAS,335,329,5076,3465,1611,322,27,400,601,58.82%,0.06599684791,6.3,4.0275,0.02697302697,16,18
2020,Cowboys,DAL,395,473,5949,4161,1788,371,26,430,639,50.00%,0.066398,6.511737,4.15814,0.024322,25,14
2020,Dolphins,MIA,404,338,5424,3736,1688,345,20,428,559,58.33%,0.074484,6.683363,3.943925,0.020263,24,15
2020,Eagles,PHI,334,418,5354,3327,2027,336,29,403,598,60.87%,0.062383,5.563545,5.029777,0.028971,22,16
2020,Falcons,ATL,396,414,5895,4363,1532,366,18,409,628,53.45%,0.067176,6.947452,3.745721,0.017358,27,13
2020,Giants,NYG,280,357,4794,3026,1768,297,22,399,517,46.34%,0.058406,5.852998,4.431078,0.024017,12,13
2020,Jaguars,JAX,306,492,5218,3699,1519,310,25,337,616,60.00%,0.058643,6.00487,4.507418,0.026233,25,9
2020,Jets,NYJ,243,457,4479,2796,1683,269,19,406,499,42.11%,0.054253,5.603206,4.14532,0.020994,16,9
2020,Lions,DET,377,519,5603,4104,1499,350,21,367,582,66.04%,0.067285,7.051546,4.084469,0.022129,27,17
2020,Packers,GB,509,369,6224,4106,2118,358,11,443,526,76.81%,0.08178,7.806084,4.781038,0.011352,48,16
2020,Panthers,CAR,350,402,5592,3888,1704,335,21,407,550,50.88%,0.062589,7.069091,4.186732,0.021944,16,19
2020,Patriots,NE,326,353,5236,2890,2346,332,19,502,440,54.17%,0.062261,6.568182,4.673307,0.02017,12,20
2020,Raiders,LV,434,478,6133,4217,1916,359,26,457,551,54.24%,0.070765,7.653358,4.19256,0.025794,28,20
2020,Rams,LA,372,296,6032,4014,2018,352,25,473,590,57.81%,0.061671,6.80339,4.266385,0.023518,20,19
2020,Ravens,BAL,468,303,5810,2739,3071,327,18,555,406,59.09%,0.080551,6.746305,5.533333,0.01873,27,24
2020,Saints,NO,482,337,6023,3758,2265,367,17,494,522,71.62%,0.080027,7.199234,4.58502,0.016732,28,30
2020,Seahawks,SEA,459,371,5912,3941,1971,356,18,411,563,73.68%,0.077639,7,4.79562,0.01848,40,15
2020,Steelers,PIT,416,312,5354,4003,1351,322,18,373,656,66.07%,0.077699,6.102134,3.621984,0.017493,35,12
2020,Texans,HOU,384,464,6004,4538,1466,326,18,344,546,54.00%,0.063957,8.311355,4.261628,0.020225,33,10
2020,Titans,TEN,491,439,6343,3653,2690,381,12,521,485,74.24%,0.077408,7.531959,5.163148,0.011928,33,26
2020,Vikings,MIN,430,475,6292,4009,2283,383,23,468,516,71.19%,0.068341,7.76938,4.878205,0.023374,35,20
2021,49ers,SF,427,365,6387,4221,2166,361,24,499,514,64.41%,0.066855,8.212062,4.340681,0.023692,26,22
2021,Bears,CHI,311,407,5225,3207,2018,333,29,475,542,47.92%,0.059522,5.916974,4.248421,0.028515,16,14
2021,Bengals,CIN,460,376,6145,4403,1742,337,21,436,555,54.55%,0.074858,7.933333,3.995413,0.021191,36,16
2021,Bills,BUF,483,289,6493,4284,2209,398,22,461,655,66.28%,0.074388,6.540458,4.791757,0.019713,36,20
2021,Broncos,DEN,335,322,5618,3593,2025,331,18,455,541,54.72%,0.05963,6.641405,4.450549,0.018072,20,16
2021,Browns,CLE,349,371,5791,3320,2471,342,22,485,520,62.00%,0.060266,6.384615,5.094845,0.021891,21,20
2021,Buccaneers,TB,511,353,6901,5229,1672,404,19,385,731,65.79%,0.074047,7.153215,4.342857,0.017025,43,18
2021,Cardinals,ARI,449,366,6352,4276,2076,367,15,496,591,60.61%,0.070686,7.235195,4.185484,0.013799,27,23
2021,Chargers,LAC,474,459,6634,4800,1834,401,22,423,674,64.00%,0.07145,7.121662,4.335697,0.020055,38,18
2021,Chiefs,KC,480,364,6746,4791,1955,419,25,431,675,62.20%,0.071153,7.097778,4.535963,0.022604,37,16
2021,Colts,IND,451,365,5901,3361,2540,354,19,499,521,56.25%,0.076428,6.451056,5.09018,0.018627,27,22
2021,Commanders,WAS,335,434,5502,3441,2061,345,24,477,550,52.00%,0.0608869502,6.256363636,4.320754717,0.02336903603,21,13
2021,Cowboys,DAL,530,358,6919,4800,2119,390,20,473,647,63.64%,0.076601,7.418856,4.479915,0.017857,40,15
2021,Dolphins,MIA,341,373,5219,3651,1568,325,26,442,615,61.22%,0.065338,5.936585,3.547511,0.024598,21,12
2021,Eagles,PHI,444,385,6119,3404,2715,352,16,550,494,62.90%,0.072561,6.890688,4.936364,0.015326,20,25
2021,Falcons,ATL,313,459,5164,3713,1451,306,26,393,573,53.70%,0.060612,6.47993,3.692112,0.026915,20,11
2021,Giants,NYG,258,416,4884,3196,1688,299,30,419,593,44.74%,0.052826,5.389545,4.02864,0.029644,15,8
