Year,Name,Position,Age,Height (in),Weight (lbs),G,GS,RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate,Catch%,YardsPerReception,YardsPerTarget,YACPerReception,TDperReception,TDperTarget,YardsPerRush,TDperRush,TotalYardsPerTouch,TotalTDsPerTouch,TeamPassingYardsPerAttempt,TeamRushingYardsPerAttempt,TeamPassingTDPercentage,TeamRushingTDPercentage,TeamYardsPerPlay,TeamPointsPerYard,RZ Completions,RZ Targets,RZ CompPercent,RZ Rec TDs,RZ Rushes,RZ Rush TDs,PPR,PosRank
2020,Jamison Crowder,WR,27,69,177,12,7,14,1,0,59,699,6,89,325,713,6,Jets,NYJ,243.0,457.0,4479,499,2796,16,406,1683,9,269,19,0.4211,0.054253,5.603206,4.14532,0.020994,0.662921,11.84746,7.853933,5.508475,0.101695,0.067416,14.0,0.0,11.88333,0.1,5.603206,4.14532,0.032064,0.022167,4.949171,0.054253,6,10,0.6,4,0,0,172.0,38
2021,Jamison Crowder,WR,28,69,177,12,4,0,0,0,51,447,2,71,174,447,2,Jets,NYJ,310.0,504.0,5208,603,3541,20,380,1667,14,310,27,0.549,0.059524,5.872305,4.386842,0.027467,0.71831,8.764706,6.295775,3.411765,0.039216,0.028169,0.0,0.0,8.764706,0.039216,5.872305,4.386842,0.033167,0.036842,5.298067,0.059524,9,12,0.75,2,0,0,109.7,78
2022,Jamison Crowder,WR,29,69,177,4,0,0,0,0,6,60,0,13,30,60,0,Bills,BUF,455.0,286.0,6361,574,4129,35,430,2232,15,367,27,0.6,0.07153,7.19338,5.190698,0.026892,0.461538,10.0,4.615385,5.0,0.0,0.0,0.0,0.0,10.0,0.0,7.19338,5.190698,0.060976,0.034884,6.335657,0.07153,0,1,0.0,0,0,0,12.0,166
2023,Jamison Crowder,WR,30,69,177,17,0,0,0,0,16,159,1,20,80,159,1,Commanders,WAS,329.0,518.0,5317,636,3725,24,359,1592,14,321,32,0.6327,0.061877,5.856918,4.43454,0.032161,0.8,9.9375,7.95,5.0,0.0625,0.05,0.0,0.0,9.9375,0.0625,5.856918,4.43454,0.037736,0.038997,5.343719,0.061877,1,2,0.5,0,0,0,35.9,135
2016,Jamize Olawale,RB,27,73,240,16,7,47,17,2,12,227,1,14,175,274,3,Raiders,OAK,416.0,385.0,5973,596,4051,29,434,1922,17,334,14,0.5862,0.069647,6.79698,4.428571,0.013592,0.857143,18.91667,16.21429,14.58333,0.083333,0.071429,2.764706,0.117647,9.448276,0.103448,6.79698,4.428571,0.048658,0.039171,5.799029,0.069647,3,3,1.0,0,5,2,57.4,65
2018,Jamize Olawale,RB,29,73,240,16,4,0,0,0,2,13,0,4,13,13,0,Cowboys,DAL,339.0,324.0,5501,527,3538,22,439,1963,13,322,17,0.5179,0.061625,6.713472,4.471526,0.017598,0.5,6.5,3.25,6.5,0.0,0.0,0.0,0.0,6.5,0.0,6.713472,4.471526,0.041746,0.029613,5.694617,0.061625,2,4,0.5,0,0,0,3.3,144
2015,Jared Cook,TE,28,77,254,16,12,0,0,0,39,481,0,73,200,481,0,Rams,SL,280.0,330.0,4761,473,2805,11,429,1956,16,241,21,0.5278,0.058811,5.930233,4.559441,0.023282,0.534247,12.33333,6.589041,5.128205,0.0,0.0,0.0,0.0,12.33333,0.0,5.930233,4.559441,0.023256,0.037296,5.278271,0.058811,3,9,0.3333,0,0,0,87.1,34
2016,Jared Cook,TE,29,77,254,10,5,0,0,0,30,377,1,51,151,377,1,Packers,GB,432.0,388.0,5900,620,4199,40,374,1701,11,349,17,0.6447,0.07322,6.772581,4.548128,0.017103,0.588235,12.56667,7.392157,5.033333,0.033333,0.019608,0.0,0.0,12.56667,0.033333,6.772581,4.548128,0.064516,0.029412,5.935614,0.07322,6,10,0.6,1,0,0,71.7,35
2017,Jared Cook,TE,30,77,254,16,16,0,0,0,54,688,2,86,227,688,2,Raiders,OAK,301.0,373.0,5185,558,3631,23,370,1554,13,287,28,0.5882,0.058052,6.507168,4.2,0.030172,0.627907,12.74074,8.0,4.203704,0.037037,0.023256,0.0,0.0,12.74074,0.037037,6.507168,4.2,0.041219,0.035135,5.587284,0.058052,2,11,0.1818,2,0,0,132.8,14
2018,Jared Cook,TE,31,77,254,16,14,0,0,0,68,896,6,101,375,896,6,Raiders,OAK,290.0,467.0,5379,556,3751,19,387,1628,9,300,24,0.5349,0.053913,6.746403,4.206718,0.025451,0.673267,13.17647,8.871287,5.514706,0.088235,0.059406,0.0,0.0,13.17647,0.088235,6.746403,4.206718,0.034173,0.023256,5.704136,0.053913,10,16,0.625,4,0,0,193.6,5
